References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C5, C7	2	CAP CER 10UF 6.3V 20% X5R 0603			1276-1119-1-ND				
C6	1	CAP CER 100PF 50V 5% NPO 0402			311-1024-1-ND				
C9, C39, C1, C38, C3	5	CAP CER 4.7UF 6.3V 10% X5R 0603			399-3482-1-ND				
C22, C23, C11, C8, C57	5	C 1u Unpolarized capacitor SM0603 Capa							
C33, C35, C32, C30	4	CAP CER 15PF 50V 5% NPO 0402			311-1017-1-ND				
C40, C41, C42, C43, C36, C44, C45, C46, C47, C48, C49, C50, C54, C55, C56, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C10, C4, C37, C24, C25, C26, C29, C28, C31, C34, C51, C53, C58, C59, C60, C61, C62, C2	43	CAP CER 0.1UF 10V 10% X5R 0402			1276-1022-1-ND				
F1, F2	2	THERMISTOR PTC 0.2 OHM SMD			490-3988-1-ND				
L2	1	INDUCTOR POWER 1.0UH 1.65A SMD			445-6618-1-ND				
L4, L1, L3	3	INDUCTOR MULTILAYER 10UH 0603			445-6755-1-ND				
R5, R7	2	RES 1.5K OHM 1/16W 1% 0402 SMD			RHM1.50KCDCT-ND				
R6	1	RES 442K OHM 1/16W 1% 0402			RMCF0402FT442KCT-ND				
R8	1	RES 100K OHM 1/16W 1% 0402 SMD			RHM100KCDCT-ND				
R9, R10, R1, R2	4	RES 27 OHM 1/16W 5% 0402 SMD			RHM27CECT-ND				
R11, R15	2	R 0 Resistor SM0402 r							
R12, R14, R3	3	RES 470K OHM 1/16W 1% 0402 SMD			RHM470KCDCT-ND				
R13	1	RES 10K OHM 1/16W 1% 0402 SMD			RHM10.0KCDCT-ND				
R18, R4, R17	3	RES 1.0 OHM 1/16W 5% 0402 SMD			311-1.0JRCT-ND				
SW1	1	SW PUSH Button S JUMPER 2							
U1	1	CONN USB MICRO B RECPT SMT R/A			609-4613-1-ND				
U2	1	IC FLASH 16MBIT 85MHZ 8SOIC		AT45DB161E	AT45DB161E-SSHFHA-TCT-ND				
U3	1	IC DDR2 SDRAM 512M 2.5NS 84WBGA		W9751G6KB	W9751G6KB-25-ND				
U4	1	IC REG BUCK SYNC 1.2V/ADJ 10DFN		PAM2321	PAM2321AYMADJDICT-ND				
U5	1	IC MCU ARM9 128KB ROM 217LFBGA		AT91SAM9N12	AT91SAM9N12-CU-ND				
U6	1	IC REG LDO 1V 0.3A SOT23-5		TLV7121DBVR	296-29737-1-ND				
U7	1	IC SUPERVISOR LO 3.08V SOT-25		APX823	APX823-31W5GDICT-ND				
U8	1	IC FLASH 4GBIT 25NS 48TSOP		S34ML04G2	1274-1044-ND				
U9	1	IC REG LDO 1.8V 0.3A SOT23-3		AP7333-SA	AP7333-18SAG-7DICT-ND				
U10	1	CONN USB 2.0 R/A FMAL TYPE-A SMD			AE10332-ND				
X1	1	CRYSTAL 16MHZ 9PF SMD TSX-3225			SER3628CT-ND				
X2	1	CRYSTAL 32.768KHZ 12.5PF SMD ABS10			535-9536-1-ND				
