References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C5, C7	2	CAP CER 10UF 6.3V 20% X5R 0603	Samsung	CL10A106MQ8NNNC			1276-1119-1-ND		7664718		
C6	1	CAP CER 100PF 50V 5% NPO 0402	Yageo	CC0402JRNPO9BN101			311-1024-1-ND	CC0402JRNPO9BN101		68R4598	3019226
C9, C39, C1, C38, C3	5	CAP CER 4.7UF 6.3V 10% X5R 0603	Kemet	C0603C475K9PACTU			399-3482-1-ND	C0603C475K9PACTU	6911164	70K9096	9227784
C22, C23, C11, C8, C57	5	C 1u Unpolarized capacitor SM0603 Capa									
C33, C35, C32, C30	4	CAP CER 15PF 50V 5% NPO 0402	Yageo	CC0402JRNPO9BN150			311-1017-1-ND	CC0402JRNPO9BN150		68R4601	3019172
C40, C41, C42, C43, C36, C44, C45, C46, C47, C48, C49, C50, C54, C55, C56, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C10, C4, C37, C24, C25, C26, C29, C28, C31, C34, C51, C53, C58, C59, C60, C61, C62, C2	43	CAP CER 0.1UF 10V 10% X5R 0402	Yageo	CC0402KRX5R6BB104	Yageo	CC0402KRX5R6BB104	1276-1022-1-ND	100R07X104KV4T	147033	68R4630	1816747
F1, F2	2	THERMISTOR PTC 0.2 OHM SMD	Murata	PRG21BC0R2MM1RA			490-3988-1-ND	PRG21BC0R2MM1RA	7855715		
L2	1	INDUCTOR POWER 1.0UH 1.65A SMD	TDK	VLS201612ET-1R0N			445-6618-1-ND	VLS201612ET1R0N	9039593	17T7720	2455361
L4, L1, L3	3	INDUCTOR MULTILAYER 10UH 0603	TDK	MLZ1608N100LT000			445-6755-1-ND	MLZ1608N100LT000		75X8756	
R5, R7	2	RES 1.5K OHM 1/16W 1% 0402 SMD	Vishay	CRCW04021K50FKED	Vishay	CRCW04021K50FKED	RHM1.50KCDCT-ND	CRCW040215K4FKED	6788797	08N2077	1653201
R6	1	RES 442K OHM 1/16W 1% 0402	Panasonic	ERJ-2RKF4423X	Panasonic	ERJ-2RKF4423X	RMCF0402FT442KCT-ND	RC0402FR07442KL		90W3049	1151284
R8	1	RES 100K OHM 1/16W 1% 0402 SMD	Rohm	MCR01MZPF1003	Rohm	MCR01MZPF1003	RHM100KCDCT-ND	TNPW0402100KBEED	6678977	67R9887	1861659
R9, R10, R1, R2	4	RES 27 OHM 1/16W 5% 0402 SMD	Yageo	RC0402JR-0727RL	Yageo	RC0402JR-0727RL	RHM27CECT-ND	CR0402JW273GLF		67R9991	2324734
R11, R15	2	R 0 Resistor SM0402 r									
R12, R14, R3	3	RES 470K OHM 1/16W 1% 0402 SMD	Vishay Dale	CRCW0402470KFKED	Vishay Dale	CRCW0402470KFKED	RHM470KCDCT-ND	CR0402FX4703GLF	9013500	95W7483	2331532
R13	1	RES 10K OHM 1/16W 1% 0402 SMD	Vishay	CRCW040210K0FKED	Vishay	CRCW040210K0FKED	RHM10.0KCDCT-ND	ERA2AEB103X	566585	98K7499	1652741
R18, R4, R17	3	RES 1.0 OHM 1/16W 5% 0402 SMD	Yageo	RC0402JR-071RL			311-1.0JRCT-ND	RC0402JR0710RL		68R2090	9232524
SW1	1	SW PUSH Button S JUMPER 2									
U1	1	CONN USB MICRO B RECPT SMT R/A	FCI	10118192-0001LF			609-4613-1-ND			67T2258	2506568
U2	1	IC FLASH 16MBIT 85MHZ 8SOIC		AT45DB161E			AT45DB161E-SSHFHA-TCT-ND	556AT45DB161EMHDT	7617699	92T0946	2136670
U3	1	IC DDR2 SDRAM 512M 2.5NS 84WBGA		W9751G6KB			W9751G6KB-25-ND				
U4	1	IC REG BUCK SYNC 1.2V/ADJ 10DFN		PAM2321			PAM2321AYMADJDICT-ND	PAM2321AYMADJ			
U5	1	IC MCU ARM9 128KB ROM 217LFBGA		AT91SAM9N12			AT91SAM9N12-CU-ND	AT91SAM9N12CU		92T0989	2249848
U6	1	IC REG LDO 1V 0.3A SOT23-5		TLV7121DBVR			296-29737-1-ND	TLV71210DBVR		71T5416	
U7	1	IC SUPERVISOR LO 3.08V SOT-25		APX823			APX823-31W5GDICT-ND	APX82331W5G7	8228928		
U8	1	IC FLASH 4GBIT 25NS 48TSOP		S34ML04G2			1274-1044-ND	79734ML04G200TFI000		51Y2320	2340566
U9	1	IC REG LDO 1.8V 0.3A SOT23-3		AP7333-SA			AP7333-18SAG-7DICT-ND	AP733318SAG7	7513095		
U10	1	CONN USB 2.0 R/A FMAL TYPE-A SMD					AE10332-ND				
X1	1	CRYSTAL 16MHZ 9PF SMD TSX-3225					SER3628CT-ND				
X2	1	CRYSTAL 32.768KHZ 12.5PF SMD ABS10	Abracon	ABS10-32.768KHZ-T			535-9536-1-ND	ABS1032.768KHZT		14N8755	2101352
